Name,Artist,Album,Track Number
2020,Suuns,Images du Futur,2
Futura,Battles,Gloss Drop,3
Wasat,Com Truise,Wave 1,1
Omega,Pyramid,Kitsuné : Night Tales,3
Nightcall,Kavinsky,Nightcall,1
Debutante,65daysofstatic,We Were Exploding Anyway,8
